dt,close,open,ratio
2025/4/11,1.068,1.04,-1.11
2025/4/10,1.08,1.088,9.20
2025/4/9,0.989,0.96,-0.50
2025/4/8,0.994,0.987,3.65
2025/4/7,0.959,0.959,-9.95
2025/4/3,1.065,1.066,-2.29
2025/4/2,1.09,1.09,0.55
2025/4/1,1.084,1.072,1.78
2025/3/31,1.065,1.071,-4.14
2025/3/28,1.111,1.114,-0.63
2025/3/27,1.118,1.118,-2.02
2025/3/26,1.141,1.151,-0.35
2025/3/25,1.145,1.15,1.24
2025/3/24,1.131,1.118,2.26
2025/3/21,1.106,1.105,-0.36
2025/3/20,1.11,1.1,2.30
2025/3/19,1.085,1.084,-0.73
2025/3/18,1.093,1.093,0.64
2025/3/17,1.086,1.09,0.37
2025/3/14,1.082,1.069,0.84
2025/3/13,1.073,1.088,-0.65
2025/3/12,1.08,1.073,0.56
2025/3/11,1.074,1.07,-4.11
2025/3/10,1.12,1.122,-0.44
2025/3/7,1.125,1.127,-2.00
2025/3/6,1.148,1.15,0.09
2025/3/5,1.147,1.137,0.88
2025/3/4,1.137,1.13,-1.90
2025/3/3,1.159,1.147,2.20
2025/2/28,1.134,1.151,-3.90
2025/2/27,1.18,1.167,0.60
2025/2/26,1.173,1.167,-0.26
2025/2/25,1.176,1.179,-1.59
2025/2/24,1.195,1.192,-1.57
2025/2/21,1.214,1.218,-0.65
2025/2/20,1.222,1.229,-0.89
2025/2/19,1.233,1.236,-0.48
2025/2/18,1.239,1.232,0.65
2025/2/17,1.231,1.23,0.00
2025/2/14,1.231,1.23,0.74
2025/2/13,1.222,1.225,0.25
2025/2/12,1.219,1.222,-0.25
2025/2/11,1.222,1.228,-0.08
2025/2/10,1.223,1.23,-1.13
2025/2/7,1.237,1.245,-0.48
2025/2/6,1.243,1.242,0.97
2025/2/5,1.231,1.23,0.16
2025/1/27,1.229,1.233,-2.38
2025/1/24,1.259,1.263,0.16
2025/1/23,1.257,1.276,-1.02
2025/1/22,1.27,1.272,0.47
2025/1/21,1.264,1.26,0.16
2025/1/20,1.262,1.255,1.45
2025/1/17,1.244,1.237,-0.40
2025/1/16,1.249,1.254,2.13
2025/1/15,1.223,1.228,-0.81
2025/1/14,1.233,1.228,1.40
2025/1/13,1.216,1.235,-2.49
2025/1/10,1.247,1.246,-0.40
2025/1/9,1.252,1.255,-0.40
2025/1/8,1.257,1.246,-0.55
2025/1/7,1.264,1.29,-0.78
2025/1/6,1.274,1.259,2.74
2025/1/3,1.24,1.241,-0.48
2025/1/2,1.246,1.229,1.22
2024/12/31,1.231,1.228,-0.65
2024/12/30,1.239,1.236,-1.27
2024/12/27,1.255,1.256,-0.63
2024/12/26,1.263,1.263,0.16
2024/12/25,1.261,1.266,0.88
2024/12/24,1.25,1.266,-0.08
2024/12/23,1.251,1.227,3.65
2024/12/20,1.207,1.227,-2.19
2024/12/19,1.234,1.223,-2.53
2024/12/18,1.266,1.257,0.56
2024/12/17,1.259,1.266,1.21
2024/12/16,1.244,1.231,1.30
2024/12/13,1.228,1.221,0.57
2024/12/12,1.221,1.22,2.01
2024/12/11,1.197,1.195,0.00
2024/12/10,1.197,1.191,-0.91
2024/12/9,1.208,1.201,1.51
