dt,close,open,ratio
2025/5/9,7.531,7.502,-0.34
2025/5/8,7.557,7.679,-1.49
2025/5/7,7.671,7.614,0.78
2025/5/6,7.612,7.596,1.89
2025/4/30,7.471,7.525,-0.61
2025/4/29,7.517,7.561,0.70
2025/4/28,7.465,7.499,-0.86
2025/4/25,7.53,7.641,-0.69
2025/4/24,7.582,7.67,1.09
2025/4/23,7.5,7.759,-6.04
2025/4/22,7.982,7.871,3.34
2025/4/21,7.724,7.684,1.86
2025/4/18,7.583,7.564,0.24
2025/4/17,7.565,7.655,0.83
2025/4/16,7.503,7.44,2.43
2025/4/15,7.325,7.327,-0.03
2025/4/14,7.327,7.301,0.74
2025/4/11,7.273,7.34,1.52
2025/4/10,7.164,7.134,2.17
2025/4/9,7.012,6.89,1.26
2025/4/8,6.925,6.878,0.70
2025/4/7,6.877,6.801,-3.06
2025/4/3,7.094,7.135,0.92
2025/4/2,7.029,7.07,-0.38
2025/4/1,7.056,7.065,0.63
2025/3/31,7.012,6.942,1.07
2025/3/28,6.938,6.912,1.85
2025/3/27,6.812,6.797,0.25
2025/3/26,6.795,6.78,0.31
2025/3/25,6.774,6.758,-0.09
2025/3/24,6.78,6.77,0.09
2025/3/21,6.774,6.808,-0.48
2025/3/20,6.807,6.82,0.10
2025/3/19,6.8,6.757,1.09
2025/3/18,6.727,6.688,0.75
2025/3/17,6.677,6.674,0.06
2025/3/14,6.673,6.693,1.49
2025/3/13,6.575,6.573,0.75
2025/3/12,6.526,6.518,0.32
2025/3/11,6.505,6.491,-0.60
2025/3/10,6.544,6.531,0.28
2025/3/7,6.526,6.506,-0.14
2025/3/6,6.535,6.53,-0.18
2025/3/5,6.547,6.523,0.74
2025/3/4,6.499,6.49,0.74
2025/3/3,6.451,6.445,0.11
2025/2/28,6.444,6.479,-0.74
2025/2/27,6.492,6.533,-0.41
2025/2/26,6.519,6.562,-0.96
2025/2/25,6.582,6.605,0.02
2025/2/24,6.581,6.549,0.18
2025/2/21,6.569,6.608,-0.76
2025/2/20,6.619,6.61,0.32
2025/2/19,6.598,6.595,0.67
2025/2/18,6.554,6.5,0.94
2025/2/17,6.493,6.477,-1.70
2025/2/14,6.605,6.599,0.56
2025/2/13,6.568,6.564,0.44
2025/2/12,6.539,6.542,-0.68
2025/2/11,6.584,6.628,1.01
2025/2/10,6.518,6.46,1.53
2025/2/7,6.42,6.43,0.27
2025/2/6,6.403,6.441,-0.56
2025/2/5,6.439,6.4,3.80
2025/1/27,6.203,6.218,-0.24
2025/1/24,6.218,6.209,0.52
2025/1/23,6.186,6.183,0.08
2025/1/22,6.181,6.17,0.88
2025/1/21,6.127,6.102,-0.02
2025/1/20,6.128,6.091,-0.18
2025/1/17,6.139,6.146,0.29
2025/1/16,6.121,6.139,0.31
2025/1/15,6.102,6.075,0.56
2025/1/14,6.068,6.07,-0.87
2025/1/13,6.121,6.105,0.31
2025/1/10,6.102,6.078,0.61
2025/1/9,6.065,6.038,0.58
2025/1/8,6.03,6.01,0.52
2025/1/7,5.999,5.992,0.17
2025/1/6,5.989,6.023,-0.68
2025/1/3,6.03,6.02,0.87
2025/1/2,5.978,5.975,0.83
2024/12/31,5.929,5.914,0.08
2024/12/30,5.924,5.934,-0.37
2024/12/27,5.946,5.95,0.10
2024/12/26,5.94,5.955,0.08
2024/12/25,5.935,5.932,0.22
2024/12/24,5.922,5.928,-0.49
2024/12/23,5.951,5.919,0.98
2024/12/20,5.893,5.877,0.12
2024/12/19,5.886,5.867,-0.79
2024/12/18,5.933,5.942,-0.13
2024/12/17,5.941,5.957,-0.10
2024/12/16,5.947,5.945,-0.90
2024/12/13,6.001,6.016,-0.86
2024/12/12,6.053,6.038,0.70
2024/12/11,6.011,6.028,0.84
2024/12/10,5.961,5.97,0.42
2024/12/9,5.936,5.941,0.54
2024/12/6,5.904,5.866,-0.39
2024/12/5,5.927,5.937,-0.03
2024/12/4,5.929,5.915,-0.03
2024/12/3,5.931,5.917,0.99
2024/12/2,5.873,5.85,-0.84
2024/11/29,5.923,5.879,0.92
2024/11/28,5.869,5.831,-0.53
2024/11/27,5.9,5.86,0.94
2024/11/26,5.845,5.835,-1.22
2024/11/25,5.917,6.009,-1.55
2024/11/22,6.01,5.968,1.28
2024/11/21,5.934,5.914,1.30
2024/11/20,5.858,5.9,-0.02
2024/11/19,5.859,5.811,1.74
2024/11/18,5.759,5.748,1.32
2024/11/15,5.684,5.711,0.05
2024/11/14,5.681,5.724,-1.98
2024/11/13,5.796,5.805,-0.21
2024/11/12,5.808,5.83,-1.66
2024/11/11,5.906,5.901,0.14
2024/11/8,5.898,5.925,0.65
2024/11/7,5.86,5.865,-2.25
2024/11/6,5.995,6.028,-0.20
2024/11/5,6.007,6.003,0.02
2024/11/4,6.006,6.011,-0.74
2024/11/1,6.051,6.017,-0.85
2024/10/31,6.103,6.14,-0.60
2024/10/30,6.14,6.111,1.20
2024/10/29,6.067,6.036,0.86
2024/10/28,6.015,5.986,0.27
2024/10/25,5.999,5.994,0.05
2024/10/24,5.996,6,-1.02
2024/10/23,6.058,6.042,0.65
2024/10/22,6.019,6.018,-0.02
2024/10/21,6.02,5.995,1.26
2024/10/18,5.945,5.961,0.66
2024/10/17,5.906,5.891,0.36
2024/10/16,5.885,5.853,1.47
2024/10/15,5.8,5.776,0.02
2024/10/14,5.799,5.77,1.05
2024/10/11,5.739,5.715,1.13
2024/10/10,5.675,5.647,0.62
2024/10/9,5.64,5.67,-1.31
2024/10/8,5.715,5.682,0.12
2024/9/30,5.708,5.644,-0.02
2024/9/27,5.709,5.751,-0.73
2024/9/26,5.751,5.76,0.19
2024/9/25,5.74,5.724,0.75
2024/9/24,5.697,5.723,-0.25
2024/9/23,5.711,5.685,0.85
2024/9/20,5.663,5.619,1.13
2024/9/19,5.6,5.591,-0.16
2024/9/18,5.609,5.621,-0.04
2024/9/13,5.611,5.613,1.43
2024/9/12,5.532,5.528,-0.18
2024/9/11,5.542,5.536,0.54
2024/9/10,5.512,5.512,0.64
2024/9/9,5.477,5.485,-0.73
2024/9/6,5.517,5.51,0.25
2024/9/5,5.503,5.483,0.73
2024/9/4,5.463,5.479,-0.69
2024/9/3,5.501,5.486,0.20
2024/9/2,5.49,5.505,-0.58
2024/8/30,5.522,5.528,-0.22
2024/8/29,5.534,5.539,0.11
2024/8/28,5.528,5.545,-0.13
2024/8/27,5.535,5.528,-0.05
2024/8/26,5.538,5.526,0.64
2024/8/23,5.503,5.504,-0.34
2024/8/22,5.522,5.535,-0.27
2024/8/21,5.537,5.514,0.44
2024/8/20,5.513,5.512,0.02
2024/8/19,5.512,5.502,1.08
2024/8/16,5.453,5.465,0.18
2024/8/15,5.443,5.431,-0.24
2024/8/14,5.456,5.473,-0.31
2024/8/13,5.473,5.476,0.64
2024/8/12,5.438,5.41,0.80
2024/8/9,5.395,5.406,0.86
2024/8/8,5.349,5.345,-0.06
2024/8/7,5.352,5.307,0.47
2024/8/6,5.327,5.35,-0.73
2024/8/5,5.366,5.39,-2.54
2024/8/2,5.506,5.475,0.46
