id,advantage,city,education,industry,label,position_detail,position_name,salary,size,stage,work_year
47,"平台大,发展空间大,年终奖",北京,本科,移动互联网,"'上市公司', '领军企业', '五险一金', '住福计划'",职位描述：【岗位职责】? 深入理解公司业务，抽象建立运营分析体系，利用数据分析，不断驱动业务优化，策略分析经验丰富优先? 面对公司多种新业务/产品，能迅速结合实际情况，开展深入数据分析与调研，协同业务决策? 制定策略方案，优化公司效能，提升渠道效率? 与产品技术团队配合，搭建和完善指标体系，提供业务所需的数据支持【职位要求】1、对商业规律、运营管理有浓厚的兴趣者优先；2、全日制统招本科及以上学历，数学、统计学、计量经济学、信息、数据挖掘等相关专业，3年以上数据分析或商业分析经验；3、熟练使用MySQL等数据提取工具4、具备良好的分析和解决问题的能力，具备良好的项目推动能力和执行力；5、有较强的沟通能力、抗压能力、主动性及团队合作精神,数据分析师,30000,2000人以上,上市公司,3-5年
48,"成长空间大,扁平管理",上海,本科,移动互联网,"'股票期权', '带薪年假', '绩效奖金', '扁平管理'",职位描述：工作职责:1. 基于企业运营、行业洞察、技术热点，策划研究课题，完成数据的提取、清洗、分析、验证，通过数据提炼分析观点，撰写分析报告。2. 沉淀分析思路与框架，归纳数据产品需求，设计数据产品或其它工具，并具备一定的工具实施落地落能力，推动数据产品建设和行业科学管理变革。3. 引领团队探索新思路、新技术；完善共享知识库，对内外部进行数据分析工具、分析方法的赋能。4. 对公众输出具备行业视野的分析课题和分析观点，定期撰写研究院公众号文章，建设一定学术影响力和行业影响力任职资格:1. 985院校或海外经管类、理工类、社科类本科及以上学历，2年以上商业分析或数据分析相关工作经历。2. 具有深厚的数学、统计学功底和计算机相关知识，精通SQL等数据查询语言及SAS、R等统计分析软件。3. 能有效地与需求方沟通、提炼需求，独立完成完整的商业分析报告或咨询项目，并推动分析结果落地实施。4. 形象气质佳，有个人影响力、极强的沟通能力、复杂问题的解决能力，以结果为导向，能跨团队合作完成各类研究课题。,数据分析师,22500,2000人以上,C轮,3-5年
49,"六险一金,餐补,平均15薪",上海,本科,移动互联网,"'专项奖金', '带薪年假', '弹性工作', '管理规范'",职位描述：岗位描述：1、参与公司数据分析产品数据维护与研发工作；2、参与公司性能及埋点数据需求开发；3、通过精细化数据运营持续改进服务及产品的优化，进而推动业务发展；4、对项目团队提供技术支持及培训和指导、对数据相关问题提供技术支持；任职资格：1、计算机相关专业，三年以上工作经验；2、熟练掌握一种开发语言（Java、Python、NodeJS、Golang）；3、熟练Mysql，SQL编程，懂SQL性能优化，有良好数据库设计能力；4、熟悉Hadoop，Hive，Storm，Spark等主流数据计算平台，有实际项目开发经验最佳；5、熟练linux操作和脚本编程，有Python经验优先；6、具有大数据分布式计算平台（Hadoop，Hive、Spark、Storm、Redis等）项目经验优先；7、具有良好的技术文档编写能力；8、有较强的学习能力，对新技术有学习热情与兴趣；,数据分析师,22500,500-2000人,上市公司,3-5年
50,"上市公司,发展平台好,管理规范,薪资福利棒",北京,本科,移动互联网,"'股票期权', '专项奖金', '通讯津贴', '带薪年假'",职位描述：岗位职责：? ?1、负责基于整个信贷业务流程的报表开发、维护和监控工作，定期汇报重点指标；2、构建风险管理数据集市，基于数据和模型构建风险策略管理报表，监控模型和策略的有效性；3、监控分析各类业务指标的发展变化，及时分析业务指标的变动原因；3、完成业务开展、风险策略、风控决策方面的数据支持需求。?任职要求：? ?1、全日制本科及以上学历，计算机、统计学、数学、金融工程等相关专业；2、熟悉报表开发流程和常用工具，2年以上报表开发与管理岗位工作经验；熟悉Hive，MySQL数据表管理与调度操作。3、能够熟练使用SQL，掌握SAS/R/Java/Python者优先考虑；4、具有良好的沟通、表达和逻辑分析能力，能够快速准确理解业务需求，团队意识强；5、有责任心，工作独立性强，积极上进，具备良好的学习能力。? ?? ?,数据分析师,30000,500-2000人,D轮及以上,3-5年
57,"双休,五险一金,年终奖,发展空间大",广州,本科,企业服务,"'年底双薪', '交通补助', '通讯津贴', '带薪年假'","职位描述：职责描述：负责数据分析和数据报表的技术体系建立。具体工作方向包括：1.深入理解业务，发掘业务细节和数据之间的联系，以数据驱动业务核心目标快速增长；2.基于hadoop、hive/spark构建数据仓库和数据集市技术体系；3.设计稳定、可用、可扩展的数据仓库模型，用户画像数据模型，员工能力数据模型，物料能力数据模型，各方向数据分析和挖掘需要；4.构建统一的数据模型设计、管理于治理机制，带领团队确保公司数据一致性，可持续发展。招聘要求：1.有数据仓库，数据采集，数据分析，数据挖掘等领域至少5年以上，深刻理解数据仓库各类建模理论，掌握维度建模设计方法，具备海量数据处理，大型数据仓库逻辑模型和物理模型经验；2.具有很强的数据分析和数据挖掘能力。熟练掌握常规分析工具；3.良好的Hadoop、hivesql开发能力和调优经验，熟悉实时计算和流式计算者优先；4.熟悉主流大数据平台和处理引擎,包括但不限于spark\Hbase\Flink等；5.熟悉机器学习，掌握常规的分类，回归，时序算法，有深度学习相关经验者优先；?6.良好的逻辑分析能力和沟通能力;具备强烈的责任心和团队协作能力;良好的推动力。",数据分析师,37500,150-500人,未融资,5-10年
61,六险一金，弹性工作，免费三餐，租房补贴，休闲下午茶，扁平管理，晋升空间,深圳,本科,移动互联网,"'扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴'","职位描述：        职位职责：1、负责业务指标体系建设；2、负责日常业务运营数据分析，多维度/多模型地全面刻画业务数据状态；3、负责从海量用户产生的海量数据中深入统计分析，挖掘用户行为，挖掘用户属性。职位要求：1、本科以上学历，计算机、数据专业优先；2、熟悉hive，spark等大数据开发工具；3、熟悉sql, tableau等数据处理和分析工具；4、数据逻辑清晰，沟通能力强，业务理解能力强；5、有构建数据仓库经验者优先；6、有构建数据仓库、BI应用、互联网行业数据挖掘分析经验者优先;        ",数据分析师,30000,2000人以上,C轮,1-3年
62,上市公司,北京,本科,移动互联网,"'上市公司', '领军企业', '五险一金', '住福计划'",职位描述：岗位职责： ? 1.负责对接业务的数据采集需求，设计数据埋点并规范数据上报；  ? 2.负责搭建业务的基础数据指标体系，开发并维护相应的数据报表；  ? 3.负责监测业务的日常数据，关注数据波动并能够分析和解读数据异常；  ? 4.负责产品和运营相关的数据分析需求，发现问题并探索解决方案，用数据辅助业务决策；  ?  ? 岗位要求： ? 1.? 计算机科学、信息科学、机器学习、统计学、应用数学等领域专业； ? 2. 两年以上数据相关岗位的工作经验； 熟练使用SQL/Hive语句； ? 3. 熟练使用Python或R等数据处理语言；  ? 4. 熟练使用Tableau等数据可视化工具； ? ?,数据分析师,22500,2000人以上,上市公司,3-5年
63,"o2o,核心业务",北京,本科,移动互联网,"'股票期权', '带薪年假', '绩效奖金', '扁平管理'",职位描述：  1、深入理解业务（贝壳生活），不断优化数据指标埋点及评价体系，输出数据报告，并对异常波动进行分析； 2、推进业务增长，不断发掘薄弱环节，为产品及运营提供优化和改善方案，并监控优化效果； 3、推动数据可视化、系统化，负责数据系统建设；?  任职要求： 1、3年以上数据及数据分析相关经验，统计、数学、计算机等相关专业优先； 2、良好的分析能力和逻辑思维，具备条理性、数据敏感性； 3、主动思考，责任心强，执行力高，有团队意识；  优先项： 1、掌握python等一门脚本语言 2、有O2O相关数据工作背景 3、国内一线互联网公司、优秀创业公司相关工作经验,数据分析师,31000,2000人以上,C轮,3-5年
64,"16薪,福利好",上海,本科,移动互联网,"'专项奖金', '带薪年假', '弹性工作', '管理规范'",职位描述：岗位职责:1与业务方沟通相关需求，并独立承担基础数据分析等数据工作；2制定数据产品策略，深入专题分析，提供数据支持；3对日常运营产品数据监控和分析。任职要求：1本科或硕士以上学历，计算机、统计、数学相关专业；2熟悉SQL/数据库/hive，精通R/python进行数据分析；3了解Tableau等BI工具；4有较好的团队精神、沟通能力，工作细致认真；5相关工作经验3年以上互联网行业相关经验。,数据分析师,30000,500-2000人,上市公司,3-5年
69,"行业top,成长空间大,六险一金,团队氛围好",北京,本科,金融,"'管理规范', '技能培训', '扁平管理', '弹性工作'",职位描述：1、负责APP业务流程中各环节流失客户做深度分析及挖掘工作，为精细化运营提供解决方案。2、能够及时从数据中发现运营、产品流程问题，并协助输出完善的产品、运营优化方案；3、用户行为分析，跟踪用户的访问路径，分析用户的操作行为数据，对提升用户留存和转化提出合理建议。对用户进行用户画像，建立用户标签 ，为精准化运营提供数据分析支撑。?岗位要求：1、全日制本科及以上学历，计算机、数学、统计等相关专业，3年以上数据分析工作经验，可独立完成数据分析项目；2、对业务逻辑有良好的数据敏感度，有较强的数据分析及数据挖掘能力，具有良好分析报告撰写能力；3、有敏锐的洞察能力，良好的沟通协作能力和团队协作意识，抗压能力强。,数据分析师,25000,2000人以上,上市公司,5-10年
74,"年底双薪,海归多,弹性工作,午餐晚餐",北京,硕士,移动互联网,"'14薪', '弹性工作', '零食水果', '午餐晚餐'",职位描述：我们期望：1. 应用数学、统计、计算机、理工科等相关专业本科以上学历；国内985/211或国外优秀大学；2. 熟悉运用SQL、EXCEL、R/Python等工具进行数据处理和分析；3. 有互联网金融或其他金融机构实习经验者优先；4. 熟悉分类、回归、聚类等数据统计模型，具有一定的建模经验；5. 严谨的逻辑思维、数理逻辑分析能力强，优秀的数值敏感性。工作内容：1. 报表支持：根据业务发展情况，提取归纳及汇总各个产品线核心指标，制定及完善数据报表，与数仓团队配合，完整报表上线及维护；2. 业务分析：熟悉业务发展情况，针对业务发展中遇到的问题对业务数据统计分析，探究问题原因，找出解决方案，为公司业务发展提供支持；3. 风控分析：根据用户数据进行分析，参与优化改进风控特征和模型。,数据分析师,22500,150-500人,不需要融资,1-3年
